x,y
-5.512754663184126,71.9300238195209
-5.580832362629314,66.06875022183692
-4.091027397891834,52.598663641524624
5.925163220342142,50.83204363050058
1.2939914906811802,37.18174092094334
-7.2713575628905875,39.39574712256535
-5.021236404837678,34.054414549728925
2.9484902314754784,28.295212548778228
10.247916081887187,26.034441831893066
13.018333116759097,14.955407986046549
11.842879159450263,16.532170800659642
12.47948101297182,20.10830829895277
29.17398256835175,19.51844216375401
39.16509291315167,18.81218831999155
37.69233187153957,15.060567045787023
50.0054977853368,8.407895696044719
45.759143722980944,-0.040861030652115105
47.967072808494784,-6.47752743696393
60.27788956692453,-5.987616697049069
67.3339266252384,-8.828710269681485
63.45514131335297,-16.929438932672564
62.0850265706019,-15.827827331226617
69.13743155085878,-14.121128775149083
65.91435765315408,-16.042010770670682
66.32842525296407,-15.967014343578743
74.5604716915998,-24.14555481599427
84.17593197701026,-13.151488872948953
91.99863473127576,-16.8562266392037
93.06899572563168,-20.271165231311517
92.63839633645759,-20.755188324408035
91.66210266261423,-32.005267282983496
98.80963357439583,-31.15092551272245
101.45275891261102,-37.27635226129181
108.40836590376523,-41.07086427922235
112.42828430074199,-30.637182893219364
120.31319821116325,-38.466347753522186
118.03630899472887,-37.234937322804356
116.58644502138203,-47.1527465860226
125.98025826180782,-43.4448942161044
133.93910028258168,-40.40318037265552
138.53251068427807,-42.94641383732154
145.65293671786537,-34.03270539945132
147.10066873129517,-39.77628993750282
146.30192085962105,-43.22632572660183
153.41273202709522,-51.995528220217864
161.17949633820743,-44.9486202189475
157.05538488385545,-47.0607728809617
163.76219450236798,-44.865642477419186
172.0601317183996,-43.15636023914847
183.36896556072574,-42.69679690621113
182.03938820164973,-45.498431643391775
190.16459442247267,-42.05045885803888
197.32202161862367,-35.96729549105032
190.90282770158586,-39.52483803039904
191.77746117194155,-40.46321050213765
196.12257983501192,-31.80266521616341
208.5351156764118,-30.75384617727964
211.82189425552528,-31.474384884889346
216.391613749713,-27.233985556195947
224.40108170486664,-20.319431042270097
216.25812639498562,-18.760373535614317
229.24231628435717,-18.46665722032999
239.16964522774293,-17.01764418559293
242.98604466438601,-19.246562813373092
240.4138102950454,-11.005139260098643
248.72736831153392,-7.4133954570439204
246.07453408551058,-4.018526206768885
257.18752256085963,7.7546827005118795
258.7686992800483,0.7992273418560618
266.19608784008267,3.0988996293214695
273.4478221173816,8.567006327287228
270.63259617874286,12.61191882893495
280.2704411354173,15.647300647344792
276.9196157730525,11.167616464495886
276.27179762480085,14.21344056559189
284.32055915252045,13.92529476089232
294.7215441879295,13.236777188882243
307.5246060007974,28.496131419335292
307.0612259361893,24.21208741966713
306.2957886910794,27.69491078805823
300.6077276284128,34.55365234034593
299.2254364451177,35.80954260223073
301.8622288427391,38.6386148928238
315.34944661698205,41.59139298976779
317.90801092116976,48.206642834519656
319.4243887867553,55.81202741787389
323.6275005043318,61.791874300292704
324.330535397052,66.38472344858782
323.86028457641896,66.16745646224861
324.14664161154644,72.85545947664977
326.9145535388648,78.98303568553523
326.1854754706887,83.610357944732
324.03746934777087,89.99781457480331
323.9989310917348,95.23897298047672
330.12515891701287,96.05037908129741
333.070764079095,101.41987380469625
342.4577186555533,105.43388617905673
343.35364791904766,110.75070164669086
333.8550582634672,113.17932072568992
338.0155055888046,116.30671740520104
326.13596545358,121.74133378274661
322.4178813585025,127.76392211833354
332.33875037752176,136.6324994516441
339.57736475979806,137.8770850840675
